"value","market","date"
"1","1.01","2021-06-25"
"0.97","0.98","2021-06-24"
"0.97","0.98","2021-06-23"
"0.95","0.95","2021-06-22"
"0.97","0.97","2021-06-21"
"0.97","0.96","2021-06-18"
"0.94","0.93","2021-06-17"
"0.92","0.93","2021-06-16"
"0.84","0.84","2021-06-15"
"0.85","0.85","2021-06-14"
"0.82","0.82","2021-06-11"
"0.82","0.82","2021-06-10"
"0.85","0.85","2021-06-09"
"0.87","0.88","2021-06-08"
"0.88","0.88","2021-06-07"
"0.86","0.87","2021-06-04"
"0.92","0.93","2021-06-03"
"0.9","0.91","2021-06-02"
"0.91","0.91","2021-06-01"
"0.9","","2021-05-31"
"0.92","0.91","2021-05-28"
"0.9","0.91","2021-05-27"
"0.87","0.88","2021-05-26"
"0.86","0.87","2021-05-25"
"0.93","0.93","2021-05-21"
"0.94","0.94","2021-05-20"
"0.96","0.97","2021-05-19"
"0.95","0.96","2021-05-18"
"0.95","0.96","2021-05-17"
"0.94","0.95","2021-05-14"
"0.94","0.94","2021-05-13"
"0.97","0.97","2021-05-12"
"0.91","0.91","2021-05-11"
"0.88","0.89","2021-05-10"
"0.87","0.88","2021-05-07"
"0.91","0.92","2021-05-06"
"0.91","0.91","2021-05-05"
"0.93","0.93","2021-05-04"
"0.92","0.93","2021-05-03"
"0.93","0.93","2021-04-30"
"0.95","0.95","2021-04-29"
"0.93","0.93","2021-04-28"
"0.96","0.97","2021-04-27"
"0.94","0.95","2021-04-26"
"0.93","0.94","2021-04-23"
"0.93","0.94","2021-04-22"
"0.94","0.94","2021-04-21"
"0.91","0.91","2021-04-20"
"0.95","0.97","2021-04-19"
"0.95","0.96","2021-04-16"
"0.9","0.92","2021-04-15"
"0.95","0.96","2021-04-14"
"0.94","0.95","2021-04-13"
"0.96","0.97","2021-04-12"
"0.95","0.96","2021-04-09"
"0.92","0.92","2021-04-08"
"0.94","0.95","2021-04-07"
"0.95","0.96","2021-04-06"
"1.01","1.02","2021-04-05"
"0.97","0.97","2021-04-01"
"0.99","1","2021-03-31"
"0.97","0.98","2021-03-30"
"0.97","0.97","2021-03-29"
"0.93","0.94","2021-03-26"
"0.9","0.92","2021-03-25"
"0.92","0.93","2021-03-24"
"0.95","0.95","2021-03-23"
"0.99","0.99","2021-03-22"
"1","1.01","2021-03-19"
"1.01","1.02","2021-03-18"
"0.99","1","2021-03-17"
"1.03","1.03","2021-03-16"
"1.02","1.03","2021-03-15"
"1.03","1.04","2021-03-12"
"0.92","0.93","2021-03-11"
"0.91","0.92","2021-03-10"
"0.87","0.87","2021-03-09"
"0.92","0.93","2021-03-08"
"0.9","0.91","2021-03-05"
"0.9","0.91","2021-03-04"
"0.83","0.84","2021-03-03"
"0.78","0.78","2021-03-02"
"0.81","0.82","2021-03-01"
"0.88","0.88","2021-02-26"
"0.93","0.94","2021-02-25"
"0.73","0.74","2021-02-24"
"0.67","0.67","2021-02-23"
"0.67","0.67","2021-02-22"
"0.64","0.64","2021-02-19"
"0.59","0.6","2021-02-18"
"0.58","0.58","2021-02-17"
"0.57","0.57","2021-02-16"
"0.49","0.5","2021-02-12"
"0.48","0.49","2021-02-11"
"0.49","0.49","2021-02-10"
"0.49","0.5","2021-02-09"
"0.5","0.5","2021-02-08"
"0.48","0.48","2021-02-05"
"0.47","0.47","2021-02-04"
"0.46","0.46","2021-02-03"
"0.43","0.43","2021-02-02"
"0.42","0.43","2021-02-01"
"0.43","0.42","2021-01-29"
"0.41","0.42","2021-01-28"
"0.41","0.4","2021-01-27"
"0.42","0.42","2021-01-26"
"0.42","0.42","2021-01-25"
"0.44","0.44","2021-01-22"
"0.45","0.46","2021-01-21"
"0.43","0.43","2021-01-20"
"0.41","0.42","2021-01-19"
"0.42","0.44","2021-01-18"
"0.42","0.43","2021-01-15"
"0.46","0.46","2021-01-14"
"0.44","0.45","2021-01-13"
"0.46","0.47","2021-01-12"
"0.46","0.47","2021-01-11"
"0.44","0.45","2021-01-08"
"0.43","0.45","2021-01-07"
"0.41","0.42","2021-01-06"
"0.39","0.4","2021-01-05"
"0.39","0.39","2021-01-04"
"0.39","0.39","2020-12-31"
"0.41","0.41","2020-12-30"
"0.41","0.42","2020-12-29"
"0.43","0.44","2020-12-24"
"0.43","0.43","2020-12-23"
"0.42","0.42","2020-12-22"
"0.44","0.44","2020-12-21"
"0.45","0.45","2020-12-18"
"0.45","0.46","2020-12-17"
"0.45","0.45","2020-12-16"
"0.45","0.45","2020-12-15"
"0.44","0.45","2020-12-14"
"0.44","0.45","2020-12-11"
"0.46","0.46","2020-12-10"
"0.47","0.48","2020-12-09"
"0.47","0.47","2020-12-08"
"0.48","0.49","2020-12-07"
"0.5","0.5","2020-12-04"
"0.46","0.47","2020-12-03"
"0.47","0.47","2020-12-02"
"0.46","0.47","2020-12-01"
"0.43","0.43","2020-11-30"
"0.43","0.43","2020-11-27"
"0.44","","2020-11-26"
"0.45","0.45","2020-11-25"
"0.45","0.45","2020-11-24"
"0.44","0.45","2020-11-23"
"0.42","0.43","2020-11-20"
"0.44","0.43","2020-11-19"
"0.44","0.45","2020-11-18"
"0.43","0.44","2020-11-17"
"0.46","0.46","2020-11-16"
"0.46","0.46","2020-11-13"
"0.45","0.46","2020-11-12"
"0.48","0.49","2020-11-10"
"0.47","0.48","2020-11-09"
"0.4","0.41","2020-11-06"
"0.38","0.39","2020-11-05"
"0.38","0.39","2020-11-04"
"0.42","0.43","2020-11-03"
"0.39","0.4","2020-11-02"
"0.4","0.4","2020-10-30"
"0.38","0.38","2020-10-29"
"0.36","0.37","2020-10-28"
"0.37","0.37","2020-10-27"
"0.38","0.39","2020-10-26"
"0.38","0.39","2020-10-23"
"0.39","0.41","2020-10-22"
"0.36","0.37","2020-10-21"
"0.36","0.37","2020-10-20"
"0.35","0.36","2020-10-19"
"0.34","0.35","2020-10-16"
"0.34","0.34","2020-10-15"
"0.35","0.36","2020-10-14"
"0.35","0.36","2020-10-13"
"0.38","0.38","2020-10-09"
"0.37","0.38","2020-10-08"
"0.38","0.38","2020-10-07"
"0.35","0.35","2020-10-06"
"0.37","0.38","2020-10-05"
"0.35","0.36","2020-10-02"
"0.35","0.35","2020-10-01"
"0.36","0.36","2020-09-30"
"0.34","0.34","2020-09-29"
"0.35","0.36","2020-09-28"
"0.35","0.35","2020-09-25"
"0.35","0.36","2020-09-24"
"0.35","0.36","2020-09-23"
"0.36","0.36","2020-09-22"
"0.35","0.35","2020-09-21"
"0.37","0.37","2020-09-18"
"0.36","0.37","2020-09-17"
"0.36","0.37","2020-09-16"
"0.36","0.37","2020-09-15"
"0.36","0.36","2020-09-14"
"0.35","0.36","2020-09-11"
"0.36","0.36","2020-09-10"
"0.37","0.38","2020-09-09"
"0.36","0.37","2020-09-08"
"0.38","0.39","2020-09-04"
"0.35","0.35","2020-09-03"
"0.35","0.36","2020-09-02"
"0.36","0.36","2020-09-01"
"0.4","0.39","2020-08-31"
"0.4","0.4","2020-08-28"
"0.43","0.44","2020-08-27"
"0.41","0.42","2020-08-26"
"0.4","0.41","2020-08-25"
"0.38","0.38","2020-08-24"
"0.36","0.37","2020-08-21"
"0.37","0.38","2020-08-20"
"0.39","0.39","2020-08-19"
"0.38","0.39","2020-08-18"
"0.39","0.4","2020-08-17"
"0.42","0.42","2020-08-14"
"0.43","0.43","2020-08-13"
"0.41","0.42","2020-08-12"
"0.38","0.39","2020-08-11"
"0.33","0.33","2020-08-10"
"0.32","0.32","2020-08-07"
"0.32","0.32","2020-08-06"
"0.34","0.35","2020-08-05"
"0.3","0.3","2020-08-04"
"0.31","0.32","2020-07-31"
"0.31","0.31","2020-07-30"
"0.32","0.33","2020-07-29"
"0.33","0.33","2020-07-28"
"0.35","0.36","2020-07-27"
"0.34","0.34","2020-07-24"
"0.35","0.35","2020-07-23"
"0.35","0.35","2020-07-22"
"0.35","0.35","2020-07-21"
"0.34","0.35","2020-07-20"
"0.35","0.35","2020-07-17"
"0.33","0.34","2020-07-16"
"0.35","0.36","2020-07-15"
"0.35","0.35","2020-07-14"
"0.36","0.35","2020-07-13"
"0.36","0.36","2020-07-10"
"0.34","0.35","2020-07-09"
"0.37","0.37","2020-07-08"
"0.35","0.35","2020-07-07"
"0.38","0.38","2020-07-06"
"0.38","0.38","2020-07-03"
"0.38","0.39","2020-07-02"
"0.36","0.37","2020-06-30"
"0.36","0.36","2020-06-29"
"0.36","0.36","2020-06-26"
"0.37","0.38","2020-06-25"
"0.38","0.38","2020-06-24"
"0.39","0.4","2020-06-23"
"0.39","0.39","2020-06-22"
"0.38","0.39","2020-06-19"
"0.37","0.38","2020-06-18"
"0.37","0.38","2020-06-17"
"0.38","0.39","2020-06-16"
"0.36","0.36","2020-06-15"
"0.37","0.37","2020-06-12"
"0.37","0.37","2020-06-11"
"0.38","0.39","2020-06-10"
"0.45","0.45","2020-06-09"
"0.48","0.48","2020-06-08"
"0.52","0.53","2020-06-05"
"0.48","0.48","2020-06-04"
"0.45","0.45","2020-06-03"
"0.39","0.4","2020-06-02"
"0.39","0.38","2020-06-01"
"0.39","0.38","2020-05-29"
"0.41","0.41","2020-05-28"
"0.4","0.41","2020-05-27"
"0.4","0.41","2020-05-26"
"0.36","","2020-05-25"
"0.37","0.38","2020-05-22"
"0.42","0.41","2020-05-21"
"0.41","0.42","2020-05-20"
"0.42","0.42","2020-05-19"
"0.37","0.39","2020-05-15"
"0.36","0.36","2020-05-14"
"0.37","0.38","2020-05-13"
"0.37","0.37","2020-05-12"
"0.38","0.39","2020-05-11"
"0.39","0.39","2020-05-08"
"0.37","0.37","2020-05-07"
"0.43","0.44","2020-05-06"
"0.4","0.41","2020-05-05"
"0.41","0.41","2020-05-04"
"0.37","0.38","2020-05-01"
"0.38","0.39","2020-04-30"
"0.41","0.41","2020-04-29"
"0.42","0.43","2020-04-28"
"0.46","0.47","2020-04-27"
"0.43","0.44","2020-04-24"
"0.45","0.46","2020-04-23"
"0.45","0.45","2020-04-22"
"0.41","0.42","2020-04-21"
"0.44","0.45","2020-04-20"
"0.46","0.46","2020-04-17"
"0.43","0.43","2020-04-16"
"0.44","0.45","2020-04-15"
"0.54","0.54","2020-04-14"
"0.57","0.58","2020-04-13"
"0.59","0.6","2020-04-09"
"0.65","0.65","2020-04-08"
"0.67","0.68","2020-04-07"
"0.64","0.64","2020-04-06"
"0.58","0.6","2020-04-03"
"0.59","0.58","2020-04-02"
"0.55","0.54","2020-04-01"
"0.6","0.58","2020-03-31"
"0.62","0.63","2020-03-30"
"0.62","0.63","2020-03-27"
"0.75","0.74","2020-03-26"
"0.78","0.79","2020-03-25"
"0.74","0.76","2020-03-24"
"0.68","0.69","2020-03-23"
"0.76","0.75","2020-03-20"
"0.85","0.86","2020-03-19"
"0.93","0.93","2020-03-18"
"0.8","0.82","2020-03-17"
"0.61","0.62","2020-03-16"
"0.65","0.68","2020-03-13"
"0.52","0.47","2020-03-12"
"0.55","0.56","2020-03-11"
"0.59","0.63","2020-03-10"
"0.53","0.54","2020-03-09"
"0.66","0.68","2020-03-06"
"0.74","0.74","2020-03-05"
"0.88","0.91","2020-03-04"
"0.88","0.89","2020-03-03"
"1.07","1.05","2020-03-02"
"1.07","1.07","2020-02-28"
"1.14","0","2020-02-27"
"1.21","1.22","2020-02-26"
"1.19","1.22","2020-02-25"
"1.21","1.22","2020-02-24"
"1.29","1.3","2020-02-21"
"1.33","1.33","2020-02-20"
"1.36","1.37","2020-02-19"
"1.34","1.35","2020-02-18"
"1.37","1.38","2020-02-14"
"1.39","1.4","2020-02-13"
"1.39","1.4","2020-02-12"
"1.35","1.36","2020-02-11"
"1.31","1.32","2020-02-10"
"1.34","1.34","2020-02-07"
"1.39","1.38","2020-02-06"
"1.41","1.39","2020-02-05"
"1.35","1.34","2020-02-04"
"1.28","1.27","2020-02-03"
"1.29","1.28","2020-01-31"
"1.34","1.36","2020-01-30"
"1.34","1.35","2020-01-29"
"1.38","1.4","2020-01-28"
"1.32","1.32","2020-01-27"
"1.39","1.39","2020-01-24"
"1.43","1.43","2020-01-23"
"1.46","1.47","2020-01-22"
"1.53","1.54","2020-01-21"
"1.58","1.58","2020-01-20"
"1.58","1.58","2020-01-17"
"1.57","1.57","2020-01-16"
"1.54","1.55","2020-01-15"
"1.59","1.6","2020-01-14"
"1.61","1.62","2020-01-13"
"1.6","1.6","2020-01-10"
"1.6","1.61","2020-01-09"
"1.62","1.63","2020-01-08"
"1.58","1.58","2020-01-07"
"1.58","1.59","2020-01-06"
"1.55","1.55","2020-01-03"
"1.62","1.63","2020-01-02"
"1.68","1.69","2019-12-31"
"1.66","1.66","2019-12-30"
"1.62","1.63","2019-12-27"
"1.64","1.65","2019-12-24"
"1.65","1.66","2019-12-23"
"1.63","1.63","2019-12-20"
"1.67","1.68","2019-12-19"
"1.7","1.71","2019-12-18"
"1.64","1.65","2019-12-17"
"1.64","1.64","2019-12-16"
"1.59","1.59","2019-12-13"
"1.66","1.66","2019-12-12"
"1.59","1.6","2019-12-11"
"1.61","1.61","2019-12-10"
"1.61","1.6","2019-12-09"
"1.59","1.59","2019-12-06"
"1.62","1.63","2019-12-05"
"1.57","1.57","2019-12-04"
"1.48","1.48","2019-12-03"
"1.54","1.55","2019-12-02"
"1.49","1.51","2019-11-29"
"1.5","","2019-11-28"
"1.51","1.52","2019-11-27"
"1.47","1.47","2019-11-26"
"1.5","1.5","2019-11-25"
"1.5","1.5","2019-11-22"
"1.49","1.49","2019-11-21"
"1.43","1.45","2019-11-20"
"1.45","1.45","2019-11-19"
"1.48","1.49","2019-11-18"
"1.48","1.49","2019-11-15"
"1.47","1.47","2019-11-14"
"1.54","1.55","2019-11-13"
"1.57","1.59","2019-11-12"
"1.55","1.56","2019-11-08"
"1.59","1.6","2019-11-07"
"1.53","1.54","2019-11-06"
"1.59","1.6","2019-11-05"
"1.53","1.54","2019-11-04"
"1.46","1.46","2019-11-01"
"1.42","1.42","2019-10-31"
"1.46","1.46","2019-10-30"
"1.62","1.63","2019-10-29"
"1.64","1.64","2019-10-28"
"1.57","1.57","2019-10-25"
"1.54","1.55","2019-10-24"
"1.53","1.54","2019-10-23"
"1.53","1.53","2019-10-22"
"1.57","1.58","2019-10-21"
"1.55","1.56","2019-10-18"
"1.58","1.57","2019-10-17"
"1.56","1.56","2019-10-16"
"1.58","1.59","2019-10-15"
"1.52","1.53","2019-10-11"
"1.39","1.41","2019-10-10"
"1.32","1.32","2019-10-09"
"1.29","1.29","2019-10-08"
"1.3","1.32","2019-10-07"
"1.25","1.25","2019-10-04"
"1.25","1.26","2019-10-03"
"1.34","1.33","2019-10-02"
"1.37","1.37","2019-10-01"
"1.4","1.4","2019-09-30"
"1.39","1.4","2019-09-27"
"1.4","1.4","2019-09-26"
"1.42","1.44","2019-09-25"
"1.34","1.34","2019-09-24"
"1.4","1.41","2019-09-23"
"1.42","1.42","2019-09-20"
"1.46","1.46","2019-09-19"
"1.46","1.47","2019-09-18"
"1.47","1.47","2019-09-17"
"1.49","1.49","2019-09-16"
"1.5","1.51","2019-09-13"
"1.46","1.47","2019-09-12"
"1.43","1.44","2019-09-11"
"1.44","1.45","2019-09-10"
"1.37","1.38","2019-09-09"
"1.32","1.32","2019-09-06"
"1.28","1.29","2019-09-05"
"1.15","1.16","2019-09-04"
"1.15","1.14","2019-09-03"
"1.18","1.19","2019-08-30"
"1.18","1.19","2019-08-29"
"1.17","1.17","2019-08-28"
"1.17","1.17","2019-08-27"
"1.24","1.25","2019-08-26"
"1.21","1.21","2019-08-23"
"1.32","1.33","2019-08-22"
"1.27","1.28","2019-08-21"
"1.19","1.2","2019-08-20"
"1.21","1.22","2019-08-19"
"1.19","1.2","2019-08-16"
"1.13","1.15","2019-08-15"
"1.19","1.19","2019-08-14"
"1.24","1.25","2019-08-13"
"1.2","1.2","2019-08-12"
"1.26","1.26","2019-08-09"
"1.23","1.23","2019-08-08"
"1.2","1.23","2019-08-07"
"1.21","1.22","2019-08-06"
"1.35","1.36","2019-08-02"
"1.36","1.37","2019-08-01"
"1.46","1.45","2019-07-31"
"1.44","1.45","2019-07-30"
"1.41","1.42","2019-07-29"
"1.39","1.4","2019-07-26"
"1.37","1.39","2019-07-25"
"1.36","1.36","2019-07-24"
"1.39","1.41","2019-07-23"
"1.39","1.39","2019-07-22"
"1.41","1.42","2019-07-19"
"1.4","1.41","2019-07-18"
"1.45","1.45","2019-07-17"
"1.51","1.51","2019-07-16"
"1.51","1.52","2019-07-15"
"1.54","1.55","2019-07-12"
"1.56","1.58","2019-07-11"
"1.53","1.53","2019-07-10"
"1.56","1.56","2019-07-09"
"1.57","1.57","2019-07-08"
"1.53","1.54","2019-07-05"
"1.42","1.41","2019-07-04"
"1.41","1.41","2019-07-03"
"1.41","1.41","2019-07-02"
"1.39","1.4","2019-06-28"
"1.37","1.38","2019-06-27"
"1.4","1.4","2019-06-26"
"1.33","1.34","2019-06-25"
"1.34","1.35","2019-06-24"
"1.37","1.37","2019-06-21"
"1.33","1.35","2019-06-20"
"1.33","1.32","2019-06-19"
"1.32","1.32","2019-06-18"
"1.33","1.34","2019-06-17"
"1.33","1.32","2019-06-14"
"1.35","1.34","2019-06-13"
"1.39","1.39","2019-06-12"
"1.42","1.42","2019-06-11"
"1.41","1.41","2019-06-10"
"1.34","1.34","2019-06-07"
"1.33","1.33","2019-06-06"
"1.3","1.31","2019-06-05"
"1.33","1.34","2019-06-04"
"1.29","1.29","2019-06-03"
"1.36","1.37","2019-05-31"
"1.45","1.46","2019-05-30"
"1.46","1.48","2019-05-29"
"1.46","1.48","2019-05-28"
"1.48","1.52","2019-05-27"
"1.5","1.52","2019-05-24"
"1.53","1.54","2019-05-23"
"1.62","1.61","2019-05-22"
"1.65","1.66","2019-05-21"
"1.57","1.58","2019-05-17"
"1.56","1.56","2019-05-16"
"1.54","1.55","2019-05-15"
"1.57","1.57","2019-05-14"
"1.54","1.55","2019-05-13"
"1.61","1.61","2019-05-10"
"1.55","1.56","2019-05-09"
"1.57","1.57","2019-05-08"
"1.55","1.55","2019-05-07"
"1.59","1.6","2019-05-06"
"1.62","1.63","2019-05-03"
"1.61","1.61","2019-05-02"
"1.55","1.55","2019-05-01"
"1.54","1.54","2019-04-30"
"1.55","1.55","2019-04-29"
"1.52","1.53","2019-04-26"
"1.53","1.54","2019-04-25"
"1.49","1.49","2019-04-24"
"1.57","1.56","2019-04-23"
"1.61","1.61","2019-04-22"
"1.61","1.62","2019-04-18"
"1.66","1.67","2019-04-17"
"1.64","1.64","2019-04-16"
"1.61","1.62","2019-04-15"
"1.64","1.65","2019-04-12"
"1.59","1.59","2019-04-11"
"1.56","1.56","2019-04-10"
"1.59","1.6","2019-04-09"
"1.6","1.6","2019-04-08"
"1.57","1.57","2019-04-05"
"1.56","1.57","2019-04-04"
"1.57","1.58","2019-04-03"
"1.55","1.55","2019-04-02"
"1.58","1.59","2019-04-01"
"1.52","1.52","2019-03-29"
"1.45","1.46","2019-03-28"
"1.43","1.42","2019-03-27"
"1.45","1.46","2019-03-26"
"1.44","1.44","2019-03-25"
"1.48","1.49","2019-03-22"
"1.56","1.56","2019-03-21"
"1.55","1.55","2019-03-20"
"1.62","1.62","2019-03-19"
"1.6","1.6","2019-03-18"
"1.6","1.61","2019-03-15"
"1.64","1.65","2019-03-14"
"1.65","1.67","2019-03-13"
"1.63","1.63","2019-03-12"
"1.64","1.64","2019-03-11"
"1.65","1.65","2019-03-08"
"1.63","1.63","2019-03-07"
"1.69","1.7","2019-03-06"
"1.75","1.76","2019-03-05"
"1.76","1.76","2019-03-04"
"1.81","1.81","2019-03-01"
"1.82","1.82","2019-02-28"
"1.8","1.8","2019-02-27"
"1.77","1.77","2019-02-26"
"1.8","1.8","2019-02-25"
"1.79","1.79","2019-02-22"
"1.81","1.82","2019-02-21"
"1.8","1.8","2019-02-20"
"1.79","1.8","2019-02-19"
"1.8","1.8","2019-02-15"
"1.79","1.78","2019-02-14"
"1.84","1.84","2019-02-13"
"1.82","1.83","2019-02-12"
"1.82","1.82","2019-02-11"
"1.79","1.8","2019-02-08"
"1.78","1.79","2019-02-07"
"1.83","1.84","2019-02-06"
"1.85","1.85","2019-02-05"
"1.86","1.87","2019-02-04"
"1.86","1.86","2019-02-01"
"1.78","1.78","2019-01-31"
"1.83","1.82","2019-01-30"
"1.86","1.86","2019-01-29"
"1.88","1.89","2019-01-28"
"1.89","1.89","2019-01-25"
"1.86","1.86","2019-01-24"
"1.9","1.9","2019-01-23"
"1.89","1.9","2019-01-22"
"1.95","1.95","2019-01-21"
"1.96","1.97","2019-01-18"
"1.92","1.93","2019-01-17"
"1.93","1.93","2019-01-16"
"1.91","1.91","2019-01-15"
"1.89","1.9","2019-01-14"
"1.89","1.9","2019-01-11"
"1.91","1.92","2019-01-10"
"1.91","1.91","2019-01-09"
"1.89","1.9","2019-01-08"
"1.87","1.88","2019-01-07"
"1.84","1.85","2019-01-04"
"1.76","1.75","2019-01-03"
"1.85","1.84","2019-01-02"
"1.88","1.89","2018-12-31"
"1.88","1.89","2018-12-28"
"1.93","1.94","2018-12-27"
"1.93","1.93","2018-12-24"
"1.96","1.97","2018-12-21"
"1.92","1.95","2018-12-20"
"1.9","1.9","2018-12-19"
"1.94","1.94","2018-12-18"
"1.98","1.98","2018-12-17"
"2.04","2.04","2018-12-14"
"2.08","2.09","2018-12-13"
"2.06","2.07","2018-12-12"
"2.02","2.03","2018-12-11"
"2","2.01","2018-12-10"
"2","2.01","2018-12-07"
"2","2.01","2018-12-06"
"2.07","2.09","2018-12-05"
"2.14","2.14","2018-12-04"
"2.18","2.19","2018-12-03"
"2.2","2.2","2018-11-30"
"2.23","2.23","2018-11-29"
"2.27","2.28","2018-11-28"
"2.27","2.29","2018-11-27"
"2.3","2.3","2018-11-26"
"2.29","2.31","2018-11-23"
"2.3","","2018-11-22"
"2.29","2.3","2018-11-21"
"2.27","2.28","2018-11-20"
"2.28","2.28","2018-11-19"
"2.29","2.3","2018-11-16"
"2.31","2.32","2018-11-15"
"2.36","2.37","2018-11-14"
"2.39","2.39","2018-11-13"
"2.43","2.43","2018-11-09"
"2.46","2.47","2018-11-08"
"2.44","2.46","2018-11-07"
"2.45","2.45","2018-11-06"
"2.43","2.44","2018-11-05"
"2.44","2.45","2018-11-02"
"2.41","2.41","2018-11-01"
"2.42","2.43","2018-10-31"
"2.38","2.39","2018-10-30"
"2.33","2.34","2018-10-29"
"2.34","2.34","2018-10-26"
"2.4","2.4","2018-10-25"
"2.38","2.39","2018-10-24"
"2.37","2.37","2018-10-23"
"2.4","2.4","2018-10-22"
"2.4","2.4","2018-10-19"
"2.4","2.41","2018-10-18"
"2.41","2.43","2018-10-17"
"2.4","2.4","2018-10-16"
"2.4","2.4","2018-10-15"
"2.38","2.39","2018-10-12"
"2.38","2.39","2018-10-11"
"2.43","2.42","2018-10-10"
"2.45","2.46","2018-10-09"
"2.48","2.48","2018-10-05"
"2.46","2.46","2018-10-04"
"2.43","2.46","2018-10-03"
"2.39","2.39","2018-10-02"
"2.42","2.42","2018-10-01"
"2.33","2.34","2018-09-28"
"2.32","2.33","2018-09-27"
"2.32","2.32","2018-09-26"
"2.35","2.36","2018-09-25"
"2.34","2.35","2018-09-24"
"2.33","2.33","2018-09-21"
"2.32","2.32","2018-09-20"
"2.3","2.32","2018-09-19"
"2.28","2.29","2018-09-18"
"2.25","2.25","2018-09-17"
"2.26","2.27","2018-09-14"
"2.25","2.26","2018-09-13"
"2.25","2.26","2018-09-12"
"2.24","2.26","2018-09-11"
"2.21","2.21","2018-09-10"
"2.21","2.22","2018-09-07"
"2.16","2.16","2018-09-06"
"2.16","2.17","2018-09-05"
"2.16","2.16","2018-09-04"
"2.16","2.17","2018-08-31"
"2.21","2.21","2018-08-30"
"2.25","2.25","2018-08-29"
"2.25","2.26","2018-08-28"
"2.23","2.24","2018-08-27"
"2.21","2.21","2018-08-24"
"2.19","2.22","2018-08-23"
"2.18","2.2","2018-08-22"
"2.18","2.19","2018-08-21"
"2.18","2.19","2018-08-20"
"2.19","2.19","2018-08-17"
"2.18","2.18","2018-08-16"
"2.19","2.19","2018-08-15"
"2.23","2.24","2018-08-14"
"2.22","2.22","2018-08-13"
"2.21","2.22","2018-08-10"
"2.24","2.25","2018-08-09"
"2.26","2.27","2018-08-08"
"2.27","2.28","2018-08-07"
"2.25","2.25","2018-08-03"
"2.25","2.26","2018-08-02"
"2.25","2.26","2018-08-01"
"2.22","2.22","2018-07-31"
"2.19","2.2","2018-07-30"
"2.2","2.2","2018-07-27"
"2.19","2.2","2018-07-26"
"2.19","2.21","2018-07-25"
"2.13","2.13","2018-07-24"
"2.12","2.12","2018-07-23"
"2.08","2.09","2018-07-20"
"2.02","2.02","2018-07-19"
"2.05","2.06","2018-07-18"
"2.04","2.03","2018-07-17"
"2.05","2.05","2018-07-16"
"2.05","2.05","2018-07-13"
"2.07","2.06","2018-07-12"
"2.07","2.08","2018-07-11"
"2.07","2.07","2018-07-10"
"2.08","2.09","2018-07-09"
"2.04","2.05","2018-07-06"
"2.06","2.06","2018-07-05"
"2.06","2.05","2018-07-04"
"2.04","2.04","2018-07-03"
"2.06","2.07","2018-06-29"
"2.01","2.01","2018-06-28"
"1.93","1.97","2018-06-27"
"1.97","1.98","2018-06-26"
"1.95","1.95","2018-06-25"
"1.98","1.98","2018-06-22"
"2","2","2018-06-21"
"2.03","2.04","2018-06-20"
"2.02","2.03","2018-06-19"
"2.06","2.06","2018-06-18"
"2.08","2.09","2018-06-15"
"2.14","2.14","2018-06-14"
"2.17","2.17","2018-06-13"
"2.14","2.14","2018-06-12"
"2.14","2.14","2018-06-11"
"2.15","2.16","2018-06-08"
"2.13","2.14","2018-06-07"
"2.16","2.16","2018-06-06"
"2.11","2.12","2018-06-05"
"2.14","2.14","2018-06-04"
"2.11","2.12","2018-06-01"
"2.1","2.11","2018-05-31"
"2.11","2.13","2018-05-30"
"2.03","2.03","2018-05-29"
"2.14","","2018-05-28"
"2.19","2.2","2018-05-25"
"2.23","2.23","2018-05-24"
"2.27","2.27","2018-05-23"
"2.3","2.3","2018-05-22"
"2.29","2.3","2018-05-18"
"2.33","2.34","2018-05-17"
"2.32","2.32","2018-05-16"
"2.31","2.31","2018-05-15"
"2.24","2.25","2018-05-14"
"2.21","2.21","2018-05-11"
"2.22","2.22","2018-05-10"
"2.2","2.21","2018-05-09"
"2.16","2.17","2018-05-08"
"2.14","2.15","2018-05-07"
"2.14","2.14","2018-05-04"
"2.14","2.14","2018-05-03"
"2.17","2.17","2018-05-02"
"2.17","2.16","2018-05-01"
"2.11","2.12","2018-04-30"
"2.12","2.13","2018-04-27"
"2.15","2.16","2018-04-26"
"2.18","2.19","2018-04-25"
"2.16","2.18","2018-04-24"
"2.17","2.17","2018-04-23"
"2.17","2.17","2018-04-20"
"2.16","2.16","2018-04-19"
"2.13","2.14","2018-04-18"
"2.1","2.11","2018-04-17"
"2.12","2.12","2018-04-16"
"2.09","2.1","2018-04-13"
"2.13","2.14","2018-04-12"
"2.06","2.07","2018-04-11"
"2.03","2.04","2018-04-10"
"2","2","2018-04-09"
"2","2","2018-04-06"
"2.03","2.04","2018-04-05"
"2.03","2.03","2018-04-04"
"2","2.01","2018-04-03"
"1.98","1.99","2018-04-02"
"1.96","1.96","2018-03-29"
"2","2","2018-03-28"
"2.02","2.03","2018-03-27"
"2.09","2.1","2018-03-26"
"2.06","2.06","2018-03-23"
"2.04","2.04","2018-03-22"
"2.1","2.1","2018-03-21"
"2.04","2.06","2018-03-20"
"2","2.01","2018-03-19"
"1.98","1.98","2018-03-16"
"1.97","1.98","2018-03-15"
"1.99","2","2018-03-14"
"2.03","2.03","2018-03-13"
"2.07","2.07","2018-03-12"
"2.08","2.08","2018-03-09"
