"value","market","date"
"3.61","3.624","2024-02-21"
"3.58","3.594","2024-02-20"
"3.67","","2024-02-16"
"3.67","3.681","2024-02-15"
"3.69","3.688","2024-02-14"
"3.8","3.799","2024-02-13"
"3.69","3.709","2024-02-12"
"3.65","3.66","2024-02-09"
"3.66","3.647","2024-02-08"
"3.57","3.577","2024-02-07"
"3.52","3.521","2024-02-06"
"3.6","3.61","2024-02-05"
"3.48","3.477","2024-02-02"
"3.34","3.35","2024-02-01"
"3.43","3.402","2024-01-31"
"3.49","3.493","2024-01-30"
"3.51","3.514","2024-01-29"
"3.58","3.569","2024-01-26"
"3.52","3.521","2024-01-25"
"3.55","3.555","2024-01-24"
"3.53","3.525","2024-01-23"
"3.52","3.528","2024-01-22"
"3.57","3.561","2024-01-19"
"3.54","3.542","2024-01-18"
"3.51","3.506","2024-01-17"
"3.4","3.394","2024-01-16"
"3.27","3.283","2024-01-15"
"3.28","3.283","2024-01-12"
"3.31","3.313","2024-01-11"
"3.36","3.353","2024-01-10"
"3.32","3.334","2024-01-09"
"3.33","3.336","2024-01-08"
"3.36","3.36","2024-01-05"
"3.33","3.33","2024-01-04"
"3.24","3.25","2024-01-03"
"3.25","3.24","2024-01-02"
"3.17","3.17","2023-12-29"
"3.2","3.2","2023-12-28"
"3.18","3.18","2023-12-27"
"3.3","3.32","2023-12-22"
"3.23","3.24","2023-12-21"
"3.18","3.17","2023-12-20"
"3.26","3.27","2023-12-19"
"3.29","3.29","2023-12-18"
"3.24","3.25","2023-12-15"
"3.24","3.25","2023-12-14"
"3.33","3.34","2023-12-13"
"3.53","3.54","2023-12-12"
"3.53","3.54","2023-12-11"
"3.49","3.49","2023-12-08"
"3.39","3.4","2023-12-07"
"3.4","3.4","2023-12-06"
"3.44","3.44","2023-12-05"
"3.54","3.52","2023-12-04"
"3.5","3.5","2023-12-01"
"3.64","3.62","2023-11-30"
"3.6","3.59","2023-11-29"
"3.67","3.67","2023-11-28"
"3.76","3.77","2023-11-27"
"3.83","3.84","2023-11-24"
"3.82","3.8","2023-11-23"
"3.76","3.77","2023-11-22"
"3.75","3.74","2023-11-21"
"3.78","3.77","2023-11-20"
"3.82","3.82","2023-11-17"
"3.81","3.8","2023-11-16"
"3.88","3.89","2023-11-15"
"3.76","3.77","2023-11-14"
"3.94","3.95","2023-11-10"
"3.94","3.95","2023-11-09"
"3.81","3.81","2023-11-08"
"3.83","3.82","2023-11-07"
"3.87","3.87","2023-11-06"
"3.78","3.79","2023-11-03"
"3.94","3.94","2023-11-02"
"3.98","3.98","2023-11-01"
"4.12","4.13","2023-10-31"
"4.11","4.12","2023-10-30"
"4.05","4.07","2023-10-27"
"4.12","4.11","2023-10-26"
"4.23","4.24","2023-10-25"
"4.17","4.18","2023-10-24"
"4.18","4.18","2023-10-23"
"4.25","4.25","2023-10-20"
"4.34","4.36","2023-10-19"
"4.32","4.32","2023-10-18"
"4.3","4.3","2023-10-17"
"4.27","4.27","2023-10-16"
"4.21","4.2","2023-10-13"
"4.24","4.24","2023-10-12"
"4.15","4.15","2023-10-11"
"4.17","4.18","2023-10-10"
"4.31","4.32","2023-10-06"
"4.29","4.29","2023-10-05"
"4.33","4.34","2023-10-04"
"4.42","4.42","2023-10-03"
"4.25","4.26","2023-09-29"
"4.3","4.3","2023-09-28"
"4.33","4.34","2023-09-27"
"4.28","4.28","2023-09-26"
"4.28","4.29","2023-09-25"
"4.21","4.21","2023-09-22"
"4.25","4.26","2023-09-21"
"4.2","4.23","2023-09-20"
"4.18","4.18","2023-09-19"
"4.04","4.05","2023-09-18"
"4.02","4.02","2023-09-15"
"3.96","3.96","2023-09-14"
"3.96","3.97","2023-09-13"
"3.97","3.97","2023-09-12"
"3.96","3.97","2023-09-11"
"3.96","3.97","2023-09-08"
"3.92","3.91","2023-09-07"
"3.97","3.97","2023-09-06"
"3.94","3.95","2023-09-05"
"3.83","3.83","2023-09-01"
"3.89","3.89","2023-08-31"
"3.9","3.9","2023-08-30"
"3.92","3.93","2023-08-29"
